FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090830;0000;;14,3958;;
090831;0000;;20,3291;;
090901;0000;;17,0042;;
090902;0000;;13,8565;;
090903;0000;;9,45833;;
090904;0000;;29,55;;
090905;0000;;60,4499;;
090906;0000;;40,0916;;
090907;0000;;7,20832;;
090908;0000;;12,875;;
090909;0000;;12,2478;;
090910;0000;;18,025;;
090911;0000;;30,7375;;
090912;0000;;55,5833;;
090913;0000;;30,4166;;
090914;0000;;29,4958;;
090915;0000;;23,8291;;
090916;0000;;20,1833;;
090917;0000;;16,9417;;
090918;0000;;18,025;;
090919;0000;;29,1833;;
090920;0000;;26,9208;;
090921;0000;;15,7708;;
090922;0000;;11,7792;;
090923;0000;;19,2416;;
090924;0000;;22,5708;;
090925;0000;;20,4792;;
090926;0000;;9,33331;;
090927;0000;;16,6292;;
090928;0000;;13,2083;;
090929;0000;;11,8125;;
090930;0000;;18,0958;;
091001;0000;;21,3916;;
091002;0000;;32,4083;;
091003;0000;;22,5083;;
091004;0000;;25,6958;;
091005;0000;;9,87498;;
091006;0000;;14,2333;;
091007;0000;;24,7625;;
091008;0000;;27,7583;;
091009;0000;;20,6166;;
091010;0000;;11,8792;;
091011;0000;;7,97083;;
091012;0000;;13,0292;;
091013;0000;;17,7041;;
091014;0000;;13,825;;
091015;0000;;16,6208;;
091016;0000;;14,9042;;
091017;0000;;10,5875;;
091018;0000;;8,39165;;
091019;0000;;17,7791;;
091020;0000;;20,3458;;
091021;0000;;17,5125;;
091022;0000;;16,9708;;
091023;0000;;11,5042;;
091024;0000;;13,9292;;
091025;0000;;11,7625;;
091026;0000;;27,9458;;
091027;0000;;23,1292;;
091028;0000;;23,3333;;
091029;0000;;24,9782;;
091030;0000;;20,3708;;
091031;0000;;13,7083;;
091101;0000;;13,0208;;
091102;0000;;9,61665;;
091103;0000;;6,19166;;
091104;0000;;7,17082;;
091105;0000;;8,62082;;
091106;0000;;8,54166;;
091107;0000;;9,13332;;
091108;0000;;10,1708;;
091109;0000;;11,3954;;
091110;0000;;14,7292;;
091111;0000;;20,6375;;
091112;0000;;19,2166;;
091113;0000;;13,075;;
