FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230310;0000;9;;;
230311;0000;9;;;
230312;0000;6;;;
230313;0000;6;;;
230314;0000;11;;;
230315;0000;6;;;
230316;0000;8;;;
230317;0000;6;;;
230318;0000;6;;;
230319;0000;12;;;
230320;0000;9;;;
230321;0000;10;;;
230322;0000;15;;;
230323;0000;20;;;
230324;0000;20;;;
230325;0000;21;;;
230326;0000;13;;;
230327;0000;13;;;
230328;0000;12;;;
230329;0000;5;;;
230330;0000;11;;;
230331;0000;15;;;
230401;0000;17;;;
230402;0000;16;;;
230403;0000;18;;;
230404;0000;13;;;
230405;0000;12;;;
230406;0000;6;;;
230407;0000;11;;;
230408;0000;16;;;
230409;0000;17;;;
230410;0000;14;;;
230411;0000;12;;;
230412;0000;9;;;
230413;0000;4;;;
230414;0000;7;;;
230415;0000;11;;;
230416;0000;9;;;
230417;0000;10;;;
230418;0000;11;;;
230419;0000;20;;;
230420;0000;10;;;
230421;0000;7;;;
230422;0000;11;;;
230423;0000;11;;;
230424;0000;10;;;
230425;0000;13;;;
230426;0000;24;;;
230427;0000;19;;;
230428;0000;6;;;
230429;0000;6;;;
230430;0000;4;;;
230501;0000;6;;;
230502;0000;10;;;
230503;0000;12;;;
230504;0000;17;;;
230505;0000;19;;;
230506;0000;25;;;
230507;0000;26;;;
230508;0000;37;;;
230509;0000;34;;;
230510;0000;33;;;
230511;0000;31;;;
230512;0000;19;;;
230513;0000;23;;;
230514;0000;19;;;
230515;0000;9;;;
230516;0000;12;;;
230517;0000;7;;;
230518;0000;12;;;
230519;0000;18;;;
230520;0000;23;;;
230521;0000;15;;;
230522;0000;6;;;
230523;0000;12;;;
230524;0000;10;;;
230525;0000;13;;;
230526;0000;8;;;
230527;0000;13;;;
230528;0000;13;;;
230529;0000;19;;;
230530;0000;23;;;
230531;0000;25;;;
230601;0000;19;;;
230602;0000;14;;;
230603;0000;9;;;
230604;0000;14;;;
230605;0000;15;;;
230606;0000;23;;;
230607;0000;21;;;
230608;0000;10;;;
230609;0000;4;;;
230610;0000;5;;;
230611;0000;11;;;
230612;0000;21;;;
230613;0000;25;;;
230614;0000;41;;;
230615;0000;34;;;
230616;0000;29;;;
230617;0000;28;;;
230618;0000;22;;;
230619;0000;11;;;
230620;0000;11;;;
230621;0000;14;;;
230622;0000;11;;;
230623;0000;8;;;
230624;0000;11;;;
230625;0000;12;;;
230626;0000;10;;;
230627;0000;6;;;
230628;0000;14;;;
230629;0000;20;;;
230630;0000;16;;;
230701;0000;15;;;
230702;0000;8;;;
230703;0000;14;;;
230704;0000;14;;;
230705;0000;14;;;
230706;0000;12;;;
230707;0000;9;;;
230708;0000;12;;;
230709;0000;8;;;
230710;0000;11;;;
230711;0000;7;;;
230712;0000;6;;;
230713;0000;12;;;
230714;0000;16;;;
230715;0000;23;;;
230716;0000;25;;;
230717;0000;27;;;
230718;0000;26;;;
230719;0000;20;;;
230720;0000;13;;;
230721;0000;7;;;
230722;0000;4;;;
230723;0000;8;;;
230724;0000;;;;
230725;0000;10;;;
230726;0000;13;;;
230727;0000;16;;;
230728;0000;26;;;
230729;0000;27;;;
230730;0000;19;;;
230731;0000;15;;;
230801;0000;11;;;
230802;0000;20;;;
230803;0000;17;;;
230804;0000;17;;;
230805;0000;10;;;
230806;0000;7;;;
230807;0000;12;;;
230808;0000;22;;;
230809;0000;23;;;
230810;0000;;;;
230811;0000;;;;
230812;0000;23;;;
230813;0000;21;;;
