FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230630;0000;48;;;
230701;0000;40;;;
230702;0000;35;;;
230703;0000;46;;;
230704;0000;29;;;
230705;0000;22;;;
230706;0000;27;;;
230707;0000;43;;;
230708;0000;37;;;
230709;0000;38;;;
230710;0000;33;;;
230711;0000;27;;;
230712;0000;6;;;
230713;0000;31;;;
230714;0000;44;;;
230715;0000;43;;;
230716;0000;69;;;
230717;0000;68;;;
230718;0000;61;;;
230719;0000;43;;;
230720;0000;47;;;
230721;0000;22;;;
230722;0000;10;;;
230723;0000;31;;;
230724;0000;47;;;
230725;0000;33;;;
230726;0000;32;;;
230727;0000;44;;;
230728;0000;55;;;
230729;0000;41;;;
230730;0000;47;;;
230731;0000;46;;;
230801;0000;41;;;
230802;0000;41;;;
230803;0000;39;;;
230804;0000;36;;;
230805;0000;23;;;
230806;0000;24;;;
230807;0000;36;;;
230808;0000;47;;;
230809;0000;50;;;
230810;0000;6;;;
230811;0000;18;;;
230812;0000;32;;;
230813;0000;34;;;
230814;0000;26;;;
230815;0000;22;;;
230816;0000;15;;;
230817;0000;11;;;
230818;0000;19;;;
230819;0000;18;;;
230820;0000;15;;;
230821;0000;11;;;
230822;0000;3;;;
230823;0000;5;;;
230824;0000;15;;;
230825;0000;16;;;
230826;0000;32;;;
230827;0000;30;;;
230828;0000;21;;;
230829;0000;18;;;
230830;0000;15;;;
230831;0000;26;;;
230901;0000;24;;;
230902;0000;24;;;
230903;0000;16;;;
230904;0000;14;;;
230905;0000;41;;;
230906;0000;20;;;
230907;0000;11;;;
230908;0000;16;;;
230909;0000;20;;;
230910;0000;33;;;
230911;0000;6;;;
230912;0000;9;;;
230913;0000;18;;;
230914;0000;26;;;
230915;0000;24;;;
230916;0000;6;;;
230917;0000;13;;;
230918;0000;31;;;
230919;0000;38;;;
230920;0000;23;;;
230921;0000;14;;;
230922;0000;15;;;
230923;0000;27;;;
230924;0000;22;;;
230925;0000;13;;;
230926;0000;7;;;
230927;0000;16;;;
230928;0000;17;;;
230929;0000;24;;;
230930;0000;24;;;
231001;0000;16;;;
231002;0000;9;;;
231003;0000;8;;;
231004;0000;11;;;
231005;0000;11;;;
231006;0000;18;;;
231007;0000;20;;;
231008;0000;17;;;
231009;0000;17;;;
231010;0000;16;;;
231011;0000;15;;;
231012;0000;17;;;
231013;0000;19;;;
231014;0000;16;;;
231015;0000;16;;;
231016;0000;10;;;
231017;0000;16;;;
231018;0000;12;;;
231019;0000;19;;;
231020;0000;23;;;
231021;0000;25;;;
231022;0000;25;;;
231023;0000;13;;;
231024;0000;17;;;
231025;0000;15;;;
231026;0000;14;;;
231027;0000;8;;;
231028;0000;11;;;
231029;0000;4;;;
231030;0000;7;;;
231031;0000;10;;;
231101;0000;7;;;
231102;0000;10;;;
231103;0000;10;;;
231104;0000;16;;;
231105;0000;11;;;
231106;0000;9;;;
231107;0000;6;;;
231108;0000;7;;;
231109;0000;11;;;
231110;0000;6;;;
231111;0000;7;;;
231112;0000;9;;;
231113;0000;7;;;
231114;0000;9;;;
231115;0000;8;;;
231116;0000;9;;;
231117;0000;8;;;
231118;0000;15;;;
231119;0000;14;;;
231120;0000;7;;;
231121;0000;5;;;
231122;0000;9;;;
231123;0000;10;;;
231124;0000;11;;;
231125;0000;17;;;
231126;0000;13;;;
231127;0000;8;;;
231128;0000;10;;;
231129;0000;8;;;
231130;0000;11;;;
231201;0000;7;;;
231202;0000;6;;;
231203;0000;7;;;
231204;0000;12;;;
231205;0000;9;;;
231206;0000;12;;;
231207;0000;42;;;
231208;0000;34;;;
231209;0000;11;;;
231210;0000;;;;
231211;0000;;;;
231212;0000;9;;;
231213;0000;9;;;
231214;0000;11;;;
231215;0000;13;;;
231216;0000;5;;;
231217;0000;4;;;
231218;0000;5;;;
231219;0000;35;;;
231220;0000;33;;;
231221;0000;23;;;
231222;0000;14;;;
231223;0000;10;;;
231224;0000;11;;;
231225;0000;12;;;
231226;0000;15;;;
231227;0000;13;;;
231228;0000;12;;;
231229;0000;16;;;
231230;0000;9;;;
231231;0000;9;;;
240101;0000;8;;;
240102;0000;13;;;
240103;0000;16;;;
240104;0000;17;;;
240105;0000;12;;;
240106;0000;11;;;
240107;0000;7;;;
240108;0000;9;;;
240109;0000;9;;;
240110;0000;12;;;
240111;0000;14;;;
240112;0000;15;;;
240113;0000;13;;;
240114;0000;10;;;
240115;0000;9;;;
240116;0000;10;;;
240117;0000;14;;;
240118;0000;14;;;
240119;0000;15;;;
240120;0000;18;;;
240121;0000;18;;;
240122;0000;20;;;
240123;0000;18;;;
240124;0000;17;;;
240125;0000;17;;;
240126;0000;13;;;
240127;0000;14;;;
240128;0000;15;;;
240129;0000;14;;;
240130;0000;18;;;
240131;0000;20;;;
240201;0000;;;;
240202;0000;;;;
240203;0000;17;;;
240204;0000;29;;;
240205;0000;21;;;
240206;0000;19;;;
240207;0000;15;;;
240208;0000;11;;;
240209;0000;10;;;
240210;0000;14;;;
240211;0000;10;;;
240212;0000;13;;;
240213;0000;13;;;
240214;0000;14;;;
240215;0000;14;;;
240216;0000;14;;;
240217;0000;14;;;
240218;0000;12;;;
240219;0000;15;;;
240220;0000;11;;;
240221;0000;9;;;
240222;0000;6;;;
240223;0000;11;;;
240224;0000;9;;;
240225;0000;11;;;
240226;0000;15;;;
240227;0000;11;;;
240228;0000;10;;;
240229;0000;8;;;
240301;0000;12;;;
240302;0000;12;;;
240303;0000;9;;;
240304;0000;12;;;
240305;0000;12;;;
240306;0000;17;;;
240307;0000;10;;;
240308;0000;7;;;
240309;0000;8;;;
240310;0000;11;;;
240311;0000;10;;;
240312;0000;5;;;
240313;0000;7;;;
240314;0000;8;;;
240315;0000;13;;;
240316;0000;13;;;
240317;0000;12;;;
240318;0000;15;;;
240319;0000;16;;;
240320;0000;10;;;
240321;0000;16;;;
240322;0000;11;;;
240323;0000;9;;;
240324;0000;8;;;
240325;0000;8;;;
240326;0000;15;;;
240327;0000;13;;;
240328;0000;15;;;
240329;0000;20;;;
240330;0000;16;;;
240331;0000;10;;;
240401;0000;;;;
240402;0000;;;;
240403;0000;;;;
240404;0000;;;;
240405;0000;;;;
240406;0000;15;;;
240407;0000;19;;;
240408;0000;17;;;
240409;0000;22;;;
240410;0000;22;;;
240411;0000;15;;;
240412;0000;14;;;
240413;0000;15;;;
240414;0000;13;;;
240415;0000;9;;;
240416;0000;18;;;
240417;0000;22;;;
240418;0000;20;;;
240419;0000;22;;;
240420;0000;28;;;
240421;0000;18;;;
240422;0000;13;;;
240423;0000;15;;;
240424;0000;18;;;
240425;0000;16;;;
240426;0000;12;;;
240427;0000;11;;;
240428;0000;20;;;
240429;0000;11;;;
240430;0000;9;;;
240501;0000;13;;;
240502;0000;16;;;
240503;0000;21;;;
240504;0000;21;;;
240505;0000;32;;;
240506;0000;19;;;
240507;0000;9;;;
240508;0000;17;;;
240509;0000;29;;;
240510;0000;30;;;
240511;0000;39;;;
240512;0000;29;;;
240513;0000;32;;;
240514;0000;40;;;
240515;0000;33;;;
240516;0000;31;;;
240517;0000;32;;;
240518;0000;38;;;
240519;0000;48;;;
240520;0000;34;;;
240521;0000;15;;;
240522;0000;15;;;
240523;0000;12;;;
240524;0000;36;;;
240525;0000;31;;;
240526;0000;23;;;
240527;0000;37;;;
240528;0000;34;;;
240529;0000;53;;;
240530;0000;55;;;
240531;0000;44;;;
240601;0000;49;;;
240602;0000;64;;;
240603;0000;44;;;
240604;0000;60;;;
240605;0000;56;;;
240606;0000;63;;;
240607;0000;56;;;
240608;0000;28;;;
240609;0000;9;;;
240610;0000;27;;;
240611;0000;41;;;
240612;0000;31;;;
240613;0000;5;;;
240614;0000;11;;;
240615;0000;31;;;
240616;0000;40;;;
240617;0000;44;;;
240618;0000;8;;;
240619;0000;11;;;
240620;0000;24;;;
240621;0000;9;;;
240622;0000;5;;;
240623;0000;10;;;
240624;0000;14;;;
240625;0000;17;;;
240626;0000;42;;;
240627;0000;31;;;
240628;0000;37;;;
240629;0000;72;;;
240630;0000;57;;;
240701;0000;37;;;
