FECHA (YYMMDD);HORA (HHMM);;
140601;1900;0;
140601;2000;0;
140601;2100;0;
140601;2200;0;
140601;2300;0;
140602;0000;0;
140602;0100;0;
140602;0200;0;
140602;0300;0;
140602;0400;0;
140602;0500;0;
140602;0600;0;
140602;0700;1;
140602;0800;44;
140602;0900;183;
140602;1000;324;
140602;1100;321;
140602;1200;488;
140602;1300;422;
140602;1400;240;
140602;1500;195;
140602;1600;90;
140602;1700;20;
140602;1800;0;
140602;1900;0;
140602;2000;0;
140602;2100;0;
140602;2200;0;
140602;2300;0;
140603;0000;0;
140603;0100;0;
140603;0200;0;
140603;0300;0;
140603;0400;0;
140603;0500;0;
140603;0600;0;
140603;0700;2;
140603;0800;59;
140603;0900;75;
140603;1000;106;
140603;1100;144;
140603;1200;115;
140603;1300;32;
140603;1400;13;
140603;1500;9;
140603;1600;6;
140603;1700;1;
140603;1800;0;
140603;1900;0;
140603;2000;0;
140603;2100;0;
140603;2200;0;
140603;2300;0;
140604;0000;0;
140604;0100;0;
140604;0200;0;
140604;0300;0;
140604;0400;0;
140604;0500;0;
140604;0600;0;
140604;0700;0;
140604;0800;;
140604;0900;;
140604;1000;;
140604;1100;;
140604;1200;;
140604;1300;;
140604;1400;;
140604;1500;;
140604;1600;;
140604;1700;;
140604;1800;;
140604;1900;0;
140604;2000;0;
140604;2100;0;
140604;2200;0;
140604;2300;0;
140605;0000;0;
140605;0100;0;
140605;0200;0;
140605;0300;0;
140605;0400;0;
140605;0500;0;
140605;0600;0;
140605;0700;1;
140605;0800;25;
140605;0900;274;
140605;1000;506;
140605;1100;602;
140605;1200;636;
140605;1300;606;
140605;1400;506;
140605;1500;356;
140605;1600;101;
140605;1700;12;
140605;1800;0;
140605;1900;;
140605;2000;;
140605;2100;;
140605;2200;;
140605;2300;;
140606;0000;;
140606;0100;;
140606;0200;;
140606;0300;;
140606;0400;;
140606;0500;;
140606;0600;;
140606;0700;;
140606;0800;;
140606;0900;;
140606;1000;;
140606;1100;;
140606;1200;;
140606;1300;;
140606;1400;;
140606;1500;;
140606;1600;;
140606;1700;;
140606;1800;;
140606;1900;0;
140606;2000;0;
140606;2100;0;
140606;2200;0;
140606;2300;0;
140607;0000;0;
140607;0100;0;
140607;0200;0;
140607;0300;0;
140607;0400;0;
140607;0500;0;
140607;0600;0;
140607;0700;1;
140607;0800;38;
140607;0900;217;
140607;1000;91;
140607;1100;64;
140607;1200;31;
140607;1300;12;
140607;1400;113;
140607;1500;79;
140607;1600;79;
140607;1700;13;
140607;1800;0;
140607;1900;0;
140607;2000;0;
140607;2100;0;
140607;2200;0;
140607;2300;0;
140608;0000;0;
140608;0100;0;
140608;0200;0;
140608;0300;0;
140608;0400;0;
140608;0500;0;
140608;0600;0;
140608;0700;1;
140608;0800;12;
140608;0900;36;
140608;1000;76;
140608;1100;65;
140608;1200;51;
140608;1300;115;
140608;1400;147;
140608;1500;154;
140608;1600;64;
140608;1700;13;
140608;1800;0;
140608;1900;0;
140608;2000;0;
140608;2100;0;
140608;2200;0;
