FECHA (YYMMDD);HORA (HHMM);;
140608;0800;8,79999;
140608;0900;9,59999;
140608;1000;10,3;
140608;1100;10,4;
140608;1200;10,3;
140608;1300;10,3;
140608;1400;10,7;
140608;1500;11,4;
140608;1600;11,5;
140608;1700;11,2;
140608;1800;11,1;
140608;1900;11;
140608;2000;10,4;
140608;2100;9,79999;
140608;2200;9,5;
140608;2300;9;
140609;0000;8,5;
140609;0100;8,5;
140609;0200;7,89999;
140609;0300;7,2;
140609;0400;7;
140609;0500;7;
140609;0600;6,39999;
140609;0700;6,2;
140609;0800;6,6;
140609;0900;9,09999;
140609;1000;14,4;
140609;1100;18;
140609;1200;18;
140609;1300;20,7;
140609;1400;22,3;
140609;1500;21,1;
140609;1600;16,5;
140609;1700;15,4;
140609;1800;13,6;
140609;1900;13,3;
140609;2000;11,5;
140609;2100;10,4;
140609;2200;9,89999;
140609;2300;9,09999;
140610;0000;8,5;
140610;0100;9;
140610;0200;9,59999;
140610;0300;9,7;
140610;0400;9,89999;
140610;0500;10;
140610;0600;10,3;
140610;0700;10,7;
140610;0800;10,9;
140610;0900;11,5;
140610;1000;12,8;
140610;1100;14;
140610;1200;15,1;
140610;1300;15,4;
140610;1400;15,2;
140610;1500;14,6;
140610;1600;13,9;
140610;1700;13,3;
140610;1800;13,3;
140610;1900;13,4;
140610;2000;13,3;
140610;2100;13,3;
140610;2200;13,2;
140610;2300;13,3;
140611;0000;13,3;
140611;0100;13,2;
140611;0200;13,1;
140611;0300;13,2;
140611;0400;13,3;
140611;0500;13,3;
140611;0600;13,3;
140611;0700;13,2;
140611;0800;13,4;
140611;0900;13,9;
140611;1000;14,4;
140611;1100;14,6;
140611;1200;14,5;
140611;1300;13,6;
140611;1400;12,4;
140611;1500;12,1;
140611;1600;11,4;
140611;1700;10,8;
140611;1800;10,6;
140611;1900;10,4;
140611;2000;9,89999;
140611;2100;9,29999;
140611;2200;9,09999;
140611;2300;9;
140612;0000;8,59999;
140612;0100;8,39999;
140612;0200;8,59999;
140612;0300;8,59999;
140612;0400;8,59999;
140612;0500;8,7;
140612;0600;8,7;
140612;0700;8,79999;
140612;0800;8,89999;
140612;0900;8,89999;
140612;1000;9,29999;
140612;1100;10,2;
140612;1200;11;
140612;1300;11,6;
140612;1400;11,2;
140612;1500;10,6;
140612;1600;10,7;
140612;1700;9,5;
140612;1800;8,59999;
140612;1900;7,8;
140612;2000;7,3;
140612;2100;6,89999;
140612;2200;6,6;
140612;2300;6,6;
140613;0000;6,39999;
140613;0100;6,6;
140613;0200;6;
140613;0300;5,39999;
140613;0400;5;
140613;0500;4,7;
