FECHA (YYMMDD);HORA (HHMM);;
040725;1300;1,2;
040725;1400;0,5;
040725;1500;0,4;
040725;1600;0,5;
040725;1700;0,4;
040725;1800;0,599998;
040725;1900;0,4;
040725;2000;0,5;
040725;2100;0,4;
040725;2200;0,4;
040725;2300;0,3;
040726;0000;0,599998;
040726;0100;0,3;
040726;0200;0,5;
040726;0300;0,4;
040726;0400;0,5;
040726;0500;0,3;
040726;0600;0,3;
040726;0700;0,3;
040726;0800;0,3;
040726;0900;0,4;
040726;1000;0,4;
040726;1100;0,5;
040726;1200;0,599998;
040726;1300;0,4;
040726;1400;0,4;
040726;1500;0,3;
040726;1600;0,2;
040726;1700;0,3;
040726;1800;0,2;
040726;1900;0,4;
040726;2000;0,2;
040726;2100;0,3;
040726;2200;0,3;
040726;2300;0,4;
040727;0000;0,5;
040727;0100;0,599998;
040727;0200;0,5;
040727;0300;0,4;
040727;0400;0,4;
040727;0500;0,599998;
040727;0600;0,3;
040727;0700;0,3;
040727;0800;0,3;
040727;0900;0,799998;
040727;1000;0,4;
040727;1100;0,3;
040727;1200;0,3;
040727;1300;0,3;
040727;1400;0,4;
040727;1500;0,4;
040727;1600;0,5;
040727;1700;0,599998;
040727;1800;0,4;
040727;1900;1,1;
040727;2000;0,4;
040727;2100;0,3;
040727;2200;0,3;
040727;2300;0,4;
040728;0000;0,3;
040728;0100;0,3;
040728;0200;0,2;
040728;0300;0,2;
040728;0400;0,3;
040728;0500;0,3;
040728;0600;0,3;
040728;0700;0,3;
040728;0800;0,799998;
040728;0900;1;
040728;1000;0,4;
040728;1100;;
040728;1200;0,599998;
040728;1300;0,599998;
040728;1400;0,7;
040728;1500;1,9;
040728;1600;2,3;
040728;1700;0,9;
040728;1800;0,5;
040728;1900;1,2;
040728;2000;0,7;
040728;2100;0,4;
040728;2200;0,3;
040728;2300;0,3;
040729;0000;0,2;
040729;0100;0,3;
040729;0200;0,3;
040729;0300;0,2;
040729;0400;0,3;
040729;0500;0,3;
040729;0600;0,5;
040729;0700;0,5;
040729;0800;0,4;
040729;0900;0,5;
040729;1000;0,5;
040729;1100;0,2;
040729;1200;0,5;
040729;1300;0,5;
040729;1400;0,3;
040729;1500;0,599998;
040729;1600;0,9;
040729;1700;0,599998;
040729;1800;0,799998;
040729;1900;0,3;
040729;2000;0,599998;
040729;2100;0,599998;
040729;2200;0,7;
040729;2300;0,799998;
040730;0000;0,4;
040730;0100;0,7;
040730;0200;0,5;
040730;0300;0,7;
040730;0400;0,799998;
040730;0500;0,2;
040730;0600;0,3;
040730;0700;0,5;
040730;0800;0,9;
040730;0900;0,4;
040730;1000;0,2;
040730;1100;0,3;
040730;1200;0,7;
040730;1300;0,799998;
040730;1400;0,7;
040730;1500;0,4;
040730;1600;0,3;
040730;1700;0,4;
040730;1800;0,4;
040730;1900;0,2;
040730;2000;0,3;
040730;2100;0,2;
040730;2200;0,3;
040730;2300;0,4;
040731;0000;0,4;
040731;0100;0,5;
040731;0200;0,4;
040731;0300;0,4;
040731;0400;0,3;
040731;0500;0,3;
040731;0600;0,3;
040731;0700;0,4;
040731;0800;0,3;
040731;0900;0,3;
040731;1000;0,3;
040731;1100;0,3;
040731;1200;1,6;
040731;1300;0,5;
040731;1400;0,4;
040731;1500;0,3;
040731;1600;0,5;
040731;1700;0,3;
040731;1800;0,599998;
040731;1900;0,4;
040731;2000;0,3;
040731;2100;0,3;
040731;2200;0,3;
040731;2300;0,3;
040801;0000;0,4;
040801;0100;0,5;
040801;0200;0,3;
040801;0300;0,3;
040801;0400;0,3;
040801;0500;0,4;
040801;0600;0,5;
040801;0700;0,599998;
040801;0800;0,4;
040801;0900;0,5;
040801;1000;0,3;
040801;1100;0,3;
040801;1200;0,3;
040801;1300;0,5;
040801;1400;0,599998;
040801;1500;0,4;
040801;1600;0,3;
040801;1700;0,3;
040801;1800;0,7;
040801;1900;1;
040801;2000;0,7;
040801;2100;0,599998;
040801;2200;0,799998;
040801;2300;0,599998;
040802;0000;0,799998;
040802;0100;0,799998;
040802;0200;0,599998;
040802;0300;0,4;
040802;0400;1;
040802;0500;1;
040802;0600;2,3;
040802;0700;1,6;
040802;0800;1,2;
040802;0900;0,4;
040802;1000;1,6;
040802;1100;1,3;
040802;1200;2,6;
040802;1300;2;
040802;1400;2,8;
040802;1500;3,9;
040802;1600;3,1;
040802;1700;1,6;
040802;1800;0,9;
040802;1900;0,799998;
040802;2000;0,5;
040802;2100;0,5;
040802;2200;0,4;
040802;2300;0,5;
040803;0000;0,4;
040803;0100;0,3;
040803;0200;0,4;
040803;0300;0,3;
040803;0400;0,5;
040803;0500;0,5;
040803;0600;0,599998;
040803;0700;1,1;
040803;0800;0,5;
040803;0900;0,3;
040803;1000;0,599998;
040803;1100;0,599998;
040803;1200;0,7;
040803;1300;1,8;
040803;1400;2,4;
040803;1500;2,2;
040803;1600;1,4;
040803;1700;1,8;
040803;1800;2;
040803;1900;1,1;
040803;2000;0,5;
040803;2100;0,3;
040803;2200;0,3;
040803;2300;0,3;
040804;0000;0,4;
040804;0100;0,4;
040804;0200;0,3;
040804;0300;0,3;
040804;0400;0,3;
040804;0500;0,2;
040804;0600;0,3;
040804;0700;0,3;
040804;0800;0,4;
040804;0900;0,5;
040804;1000;0,3;
040804;1100;0,7;
040804;1200;0,5;
040804;1300;0,5;
040804;1400;1,8;
040804;1500;1,2;
040804;1600;1,6;
040804;1700;0,3;
040804;1800;0,3;
040804;1900;0,4;
040804;2000;0,4;
040804;2100;0,2;
040804;2200;0,4;
040804;2300;0,2;
040805;0000;0,599998;
040805;0100;0,799998;
040805;0200;1,1;
