FECHA (YYMMDD);HORA (HHMM);;
140620;0000;1010;
140620;0100;1009;
140620;0200;1009;
140620;0300;1009;
140620;0400;1008;
140620;0500;1008;
140620;0600;1008;
140620;0700;1009;
140620;0800;1009;
140620;0900;1009;
140620;1000;1009;
140620;1100;1009;
140620;1200;1008;
140620;1300;1008;
140620;1400;1007;
140620;1500;1008;
140620;1600;1008;
140620;1700;1008;
140620;1800;1008;
140620;1900;1008;
140620;2000;1008;
140620;2100;1008;
140620;2200;1008;
140620;2300;1008;
140621;0000;1008;
140621;0100;1008;
140621;0200;1008;
140621;0300;1009;
140621;0400;1009;
140621;0500;1009;
140621;0600;1009;
140621;0700;1009;
140621;0800;1010;
140621;0900;1010;
140621;1000;1010;
140621;1100;1011;
140621;1200;1011;
140621;1300;1011;
140621;1400;1011;
140621;1500;1011;
140621;1600;1011;
140621;1700;1011;
140621;1800;1011;
140621;1900;1011;
140621;2000;1011;
140621;2100;1011;
140621;2200;1011;
140621;2300;1011;
140622;0000;1012;
140622;0100;1012;
140622;0200;1012;
140622;0300;1012;
140622;0400;1012;
140622;0500;1012;
140622;0600;1012;
140622;0700;1012;
140622;0800;1012;
140622;0900;1012;
140622;1000;1012;
140622;1100;1011;
140622;1200;1011;
140622;1300;1010;
140622;1400;1010;
140622;1500;1010;
140622;1600;1010;
140622;1700;1010;
140622;1800;1010;
140622;1900;1010;
140622;2000;1010;
140622;2100;1010;
140622;2200;1010;
140622;2300;1010;
140623;0000;1010;
140623;0100;1010;
140623;0200;1010;
140623;0300;1010;
140623;0400;1010;
140623;0500;1010;
140623;0600;1010;
140623;0700;1010;
140623;0800;1011;
140623;0900;1011;
140623;1000;1011;
140623;1100;1010;
140623;1200;1010;
140623;1300;1009;
140623;1400;1008;
140623;1500;1008;
140623;1600;1008;
140623;1700;1008;
140623;1800;1008;
140623;1900;1009;
140623;2000;1009;
140623;2100;1009;
140623;2200;1010;
140623;2300;1010;
140624;0000;1009;
140624;0100;1010;
140624;0200;1010;
140624;0300;1010;
140624;0400;1010;
140624;0500;1010;
140624;0600;1010;
140624;0700;1010;
140624;0800;1011;
140624;0900;1012;
140624;1000;1012;
140624;1100;1012;
140624;1200;1012;
140624;1300;1011;
140624;1400;1011;
140624;1500;1011;
140624;1600;1011;
140624;1700;1012;
140624;1800;1012;
140624;1900;1012;
140624;2000;1012;
140624;2100;1012;
140624;2200;1012;
140624;2300;1012;
140625;0000;1011;
140625;0100;1011;
140625;0200;1011;
140625;0300;1011;
140625;0400;1011;
140625;0500;1010;
140625;0600;1011;
140625;0700;1011;
140625;0800;1011;
140625;0900;1011;
140625;1000;1011;
140625;1100;1011;
140625;1200;1011;
140625;1300;1011;
140625;1400;1011;
140625;1500;1011;
140625;1600;1011;
140625;1700;1012;
140625;1800;1012;
140625;1900;1013;
140625;2000;1014;
140625;2100;1014;
140625;2200;1014;
140625;2300;1014;
140626;0000;1015;
140626;0100;1015;
140626;0200;1015;
140626;0300;1016;
140626;0400;1016;
140626;0500;1016;
140626;0600;1017;
140626;0700;1017;
140626;0800;1018;
140626;0900;1018;
140626;1000;1019;
140626;1100;1019;
140626;1200;1018;
140626;1300;1018;
140626;1400;1018;
140626;1500;1018;
140626;1600;1018;
140626;1700;1018;
140626;1800;1018;
140626;1900;1019;
140626;2000;1019;
140626;2100;1019;
140626;2200;1018;
140626;2300;1018;
140627;0000;1018;
140627;0100;1018;
140627;0200;1017;
140627;0300;1016;
140627;0400;1016;
140627;0500;1016;
140627;0600;1015;
140627;0700;1016;
140627;0800;1016;
140627;0900;1016;
140627;1000;1016;
140627;1100;1016;
140627;1200;1015;
140627;1300;1015;
140627;1400;1014;
140627;1500;1014;
140627;1600;1014;
140627;1700;1014;
140627;1800;1014;
140627;1900;1014;
140627;2000;1014;
140627;2100;1014;
140627;2200;1014;
140627;2300;1015;
140628;0000;1015;
140628;0100;1015;
140628;0200;1015;
140628;0300;1015;
140628;0400;1015;
140628;0500;1015;
140628;0600;1015;
140628;0700;1015;
140628;0800;1015;
140628;0900;1015;
140628;1000;1015;
140628;1100;1015;
140628;1200;1014;
140628;1300;1013;
140628;1400;1012;
140628;1500;1012;
140628;1600;1012;
140628;1700;1012;
140628;1800;1012;
140628;1900;1012;
140628;2000;1012;
140628;2100;1012;
140628;2200;1012;
140628;2300;1012;
140629;0000;1012;
140629;0100;1012;
140629;0200;1011;
140629;0300;1011;
140629;0400;1011;
140629;0500;1010;
140629;0600;1010;
140629;0700;1011;
140629;0800;1011;
140629;0900;1011;
140629;1000;1011;
140629;1100;1011;
140629;1200;1010;
140629;1300;1010;
140629;1400;1009;
140629;1500;1009;
140629;1600;1009;
140629;1700;1010;
140629;1800;1011;
140629;1900;1011;
140629;2000;1012;
140629;2100;1012;
140629;2200;1012;
140629;2300;1012;
140630;0000;1011;
140630;0100;1011;
140630;0200;1011;
140630;0300;1011;
140630;0400;1011;
140630;0500;1011;
140630;0600;1012;
140630;0700;1012;
140630;0800;1013;
140630;0900;1013;
140630;1000;1013;
140630;1100;1013;
140630;1200;1012;
140630;1300;1012;
140630;1400;1011;
140630;1500;1011;
140630;1600;1011;
140630;1700;1011;
140630;1800;1011;
140630;1900;1011;
140630;2000;1011;
140630;2100;1011;
140630;2200;1012;
140630;2300;1011;
140701;0000;1011;
140701;0100;1011;
140701;0200;1011;
140701;0300;1010;
140701;0400;1010;
140701;0500;1009;
140701;0600;1010;
140701;0700;1010;
140701;0800;1011;
140701;0900;1011;
140701;1000;1011;
140701;1100;1011;
140701;1200;1010;
140701;1300;1009;
140701;1400;1008;
140701;1500;1008;
140701;1600;1008;
140701;1700;1008;
140701;1800;1008;
140701;1900;1008;
140701;2000;1008;
140701;2100;1008;
140701;2200;1008;
140701;2300;1009;
140702;0000;1009;
140702;0100;1009;
140702;0200;1009;
140702;0300;1009;
140702;0400;1010;
140702;0500;1011;
140702;0600;1012;
140702;0700;1013;
140702;0800;1014;
140702;0900;1015;
140702;1000;1016;
140702;1100;1016;
140702;1200;1016;
140702;1300;1015;
140702;1400;1014;
140702;1500;1013;
140702;1600;1012;
140702;1700;1011;
140702;1800;1011;
140702;1900;1011;
140702;2000;1011;
140702;2100;1010;
140702;2200;1009;
140702;2300;1009;
140703;0000;1008;
140703;0100;1008;
140703;0200;1008;
140703;0300;1008;
140703;0400;1009;
140703;0500;1009;
140703;0600;1009;
140703;0700;1010;
140703;0800;1011;
140703;0900;1011;
140703;1000;1012;
140703;1100;1011;
140703;1200;1011;
140703;1300;1010;
140703;1400;1010;
140703;1500;1010;
140703;1600;1010;
140703;1700;1010;
140703;1800;1011;
140703;1900;1010;
140703;2000;1010;
140703;2100;1010;
140703;2200;1011;
140703;2300;1011;
140704;0000;1011;
140704;0100;1011;
140704;0200;1011;
140704;0300;1010;
140704;0400;1010;
140704;0500;1010;
140704;0600;1011;
140704;0700;1011;
140704;0800;1012;
140704;0900;1013;
140704;1000;1013;
140704;1100;1013;
140704;1200;1013;
140704;1300;1013;
140704;1400;1013;
140704;1500;1013;
140704;1600;1014;
140704;1700;1014;
140704;1800;1015;
140704;1900;1016;
140704;2000;1016;
140704;2100;1017;
140704;2200;1018;
140704;2300;1018;
140705;0000;1019;
140705;0100;1019;
140705;0200;1020;
140705;0300;1020;
140705;0400;1020;
140705;0500;1020;
140705;0600;1021;
140705;0700;1022;
140705;0800;1022;
140705;0900;1022;
140705;1000;1022;
140705;1100;1022;
140705;1200;1021;
140705;1300;1021;
140705;1400;1020;
